Frame,L_x1,L_x2,L_x3,L_x4,L_y1,L_y2,L_y3,L_y4,R_x1,R_x2,R_x3,R_x4,R_y1,R_y2,R_y3,R_y4
2394,2059,2111,2832,2780,1001,1228,1062,836,1498,1555,2246,2189,1082,1304,1126,904
2396,2057,2109,2833,2780,1015,1243,1076,849,1492,1550,2244,2186,1094,1317,1137,914
2398,2055,2107,2834,2782,1028,1257,1090,861,1486,1544,2243,2185,1106,1330,1150,925
2400,2053,2104,2834,2782,1048,1277,1111,883,1480,1539,2226,2167,1125,1350,1170,946
2402,2051,2103,2838,2786,1073,1304,1139,908,1474,1533,2240,2181,1151,1378,1192,965
2404,2048,2100,2831,2779,1091,1324,1163,929,1469,1529,2239,2179,1170,1400,1213,984
2406,2044,2095,2832,2781,1096,1329,1168,935,1466,1526,2235,2175,1177,1407,1221,992
2408,2039,2086,2818,2770,1107,1334,1181,955,1463,1522,2228,2168,1190,1418,1234,1007
2410,2033,2077,2798,2754,1117,1340,1196,972,1461,1520,2218,2159,1205,1430,1249,1024
2412,2023,2072,2780,2731,1118,1340,1183,961,1465,1521,2208,2152,1200,1418,1241,1023
2414,2018,2067,2761,2712,1111,1330,1175,956,1471,1526,2201,2146,1191,1406,1234,1018
2416,2017,2066,2746,2698,1107,1323,1170,954,1482,1537,2198,2143,1184,1397,1228,1015
2418,2018,2066,2734,2686,1110,1321,1172,960,1494,1548,2196,2143,1184,1392,1226,1018
2420,2018,2064,2717,2671,1118,1325,1181,973,1504,1556,2192,2140,1190,1395,1233,1028
2422,2012,2057,2696,2652,1126,1330,1190,986,1509,1560,2184,2133,1196,1398,1241,1039
2424,2004,2047,2672,2628,1126,1325,1189,990,1512,1562,2171,2121,1197,1395,1240,1043
2426,1996,2038,2647,2605,1115,1307,1174,982,1517,1564,2161,2113,1188,1378,1229,1038
2428,1988,2030,2625,2583,1096,1283,1151,965,1521,1566,2150,2105,1171,1355,1211,1027
2430,1981,2022,2604,2563,1077,1259,1128,946,1525,1568,2140,2096,1153,1333,1194,1014
2432,1975,2015,2584,2544,1057,1234,1106,929,1528,1571,2131,2088,1136,1312,1175,1000
2434,1970,2009,2568,2529,1040,1213,1085,912,1532,1574,2124,2082,1118,1291,1158,985
2436,1968,2006,2557,2519,1022,1194,1073,901,1538,1579,2119,2079,1101,1272,1143,972
2438,1966,2006,2547,2508,1014,1184,1058,888,1545,1584,2118,2078,1089,1259,1134,964
2440,1973,2012,2540,2501,1012,1181,1058,889,1550,1590,2116,2076,1087,1256,1132,964
2442,1971,2010,2532,2494,1015,1182,1061,894,1554,1593,2113,2075,1088,1255,1135,968
2444,1971,2009,2526,2487,1025,1191,1070,904,1557,1596,2111,2073,1097,1262,1142,976
2446,1973,2010,2524,2487,1041,1206,1088,923,1562,1599,2112,2074,1110,1274,1157,993
2448,1983,2020,2525,2488,1057,1221,1107,943,1567,1605,2114,2077,1127,1290,1172,1009
2450,1983,2020,2525,2488,1057,1221,1107,943,1573,1611,2118,2081,1143,1306,1190,1027
2452,1986,2022,2531,2494,1097,1260,1145,983,1580,1617,2124,2087,1161,1323,1208,1046
2454,1985,2021,2536,2500,1122,1285,1171,1008,1586,1623,2129,2093,1184,1346,1232,1070
2456,1990,2026,2540,2504,1145,1307,1194,1032,1592,1628,2134,2098,1207,1369,1255,1093
2458,1993,2029,2542,2507,1169,1331,1218,1056,1596,1632,2136,2100,1231,1392,1279,1118
2460,1996,2031,2545,2510,1196,1357,1245,1084,1598,1635,2139,2103,1259,1420,1307,1146
2462,1999,2033,2548,2514,1224,1386,1277,1115,1601,1638,2144,2108,1291,1453,1339,1177
2464,2003,2037,2553,2518,1251,1413,1304,1142,1605,1641,2149,2112,1321,1484,1370,1207
2466,2007,2040,2557,2523,1276,1439,1332,1169,1609,1645,2153,2117,1350,1513,1399,1236
2468,2010,2043,2561,2527,1305,1469,1363,1199,1612,1648,2157,2121,1380,1544,1431,1268
2470,2012,2045,2564,2531,1335,1499,1394,1230,1613,1650,2159,2123,1413,1577,1463,1299
2472,2014,2047,2567,2533,1363,1529,1425,1259,1614,1651,2162,2125,1443,1609,1494,1329
2474,2014,2047,2568,2535,1400,1566,1463,1297,,,,,,,,
2476,2013,2046,2568,2536,1444,1611,1510,1343,1608,1647,2162,2124,1526,1693,1575,1408
2478,2009,2042,2568,2535,1486,1658,1557,1385,1602,1641,2160,2121,1569,1739,1619,1449
2480,2005,2038,2566,2533,1533,1705,1602,1431,1593,1634,2157,2116,1614,1788,1664,1490
2482,2003,2035,2570,2538,1592,1767,1668,1493,1584,1625,2156,2116,1670,1848,1726,1548
2484,2005,2038,2581,2547,1656,1839,1741,1558,1580,1623,2161,2119,1737,1920,1794,1611
2486,2011,2047,2593,2558,1706,1898,1797,1605,,,,,,,,
2488,2021,2056,2608,2572,1748,1943,1843,1648,1584,1631,2180,2133,1838,2030,1894,1702
