Frame,L_x1,L_x2,L_x3,L_x4,L_y1,L_y2,L_y3,L_y4,R_x1,R_x2,R_x3,R_x4,R_y1,R_y2,R_y3,R_y4
814,1690,1622,1750,1818,25,209,256,72,,,,,,,,
816,1690,1622,1750,1818,25,209,256,72,,,,,,,,
818,1690,1622,1750,1818,25,209,256,72,,,,,,,,
820,1690,1622,1750,1818,25,209,256,72,,,,,,,,
822,1690,1622,1750,1818,25,209,256,72,,,,,,,,
824,1690,1622,1750,1818,25,209,256,72,,,,,,,,
826,1690,1622,1750,1818,25,209,256,72,,,,,,,,
828,1690,1622,1750,1818,25,209,256,72,,,,,,,,
830,1690,1622,1750,1818,25,209,256,72,,,,,,,,
832,1690,1622,1750,1818,25,209,256,72,,,,,,,,
834,1690,1622,1750,1818,25,209,256,72,,,,,,,,
836,1690,1622,1750,1818,25,209,256,72,,,,,,,,
838,1690,1622,1750,1818,25,209,256,72,,,,,,,,
840,1690,1622,1750,1818,25,209,256,72,,,,,,,,
842,1690,1622,1750,1818,25,209,256,72,,,,,,,,
844,1690,1622,1750,1818,25,209,256,72,,,,,,,,
846,1690,1622,1750,1818,25,209,256,72,,,,,,,,
848,1690,1622,1750,1818,25,209,256,72,,,,,,,,
850,1690,1622,1750,1818,25,209,256,72,,,,,,,,
852,1690,1622,1750,1818,25,209,256,72,,,,,,,,
854,1690,1622,1750,1818,25,209,256,72,,,,,,,,
856,1690,1622,1750,1818,25,209,256,72,,,,,,,,
858,1690,1622,1750,1818,25,209,256,72,,,,,,,,
860,1690,1622,1750,1818,25,209,256,72,,,,,,,,
862,1690,1622,1750,1818,25,209,256,72,,,,,,,,
884,2227,2248,2653,2631,218,437,397,178,,,,,,,,
886,2227,2248,2653,2631,218,437,397,178,,,,,,,,
888,2030,2035,2079,2074,146,230,227,144,,,,,,,,
890,2030,2035,2079,2074,146,230,227,144,,,,,,,,
892,2030,2035,2079,2074,146,230,227,144,,,,,,,,
894,2007,2068,2171,2110,82,297,268,52,,,,,,,,
896,2259,2197,2342,2403,40,145,230,124,,,,,,,,
898,2167,2096,2292,2362,118,212,358,263,,,,,,,,
900,2167,2096,2292,2362,118,212,358,263,,,,,,,,
