Frame,L_x1,L_x2,L_x3,L_x4,L_y1,L_y2,L_y3,L_y4,R_x1,R_x2,R_x3,R_x4,R_y1,R_y2,R_y3,R_y4,L_longueur,L_largeur,disparity_mid1,disparity_mid2,disparity_mid3,disparity_mid4,longueur_cm,largeur_cm,profondeur_m
560,2128,2137,2324,2315,223,320,304,206,1924.0,1926.0,2096.0,2094.0,359.0,452.0,449.0,356.0,187.72652982463615,97.91450352220554,207.5,219.5,224.5,212.5,31.207,17.96,2.949
562,2121,2145,2337,2313,229,324,276,181,1929.0,1929.0,2096.0,2096.0,351.0,444.0,444.0,351.0,197.9090700296477,97.98469268207153,204.0,228.5,229.0,204.5,39.51,39.928,2.947
564,2132,2140,2330,2322,203,303,287,188,1922.0,1924.0,2101.0,2099.0,345.0,440.0,437.0,341.0,190.63118842414008,99.82108995598074,213.0,222.5,226.0,216.5,27.234,16.76,2.9
566,2125,2153,2348,2320,239,332,274,181,1927.0,1931.0,2107.0,2103.0,358.0,452.0,445.0,351.0,203.44286667268528,97.12363255150623,210.0,231.5,229.0,207.5,32.326,38.751,2.903
568,2143,2143,2331,2331,228,328,328,228,1929.0,1933.0,2111.0,2106.0,378.0,471.0,462.0,369.0,188.0,100.0,212.0,215.0,222.5,219.5,25.826,11.87,2.929
570,2132,2159,2356,2329,266,361,305,210,1936.0,1931.0,2105.0,2110.0,372.0,467.0,477.0,382.0,204.80478510034868,98.76234100101111,212.0,239.5,235.0,207.5,35.356,47.973,2.853
572,2149,2149,2340,2340,236,338,338,236,1938.0,1938.0,2113.0,2113.0,379.0,472.0,472.0,379.0,191.0,102.0,211.0,219.0,227.0,219.0,30.192,12.342,2.908
574,2149,2149,2340,2340,236,338,338,236,,,,,,,,,191.0,102.0,,,,,,,
576,2141,2149,2342,2334,263,360,344,247,1934.0,1934.0,2107.0,2107.0,394.0,487.0,487.0,394.0,193.6620768245554,97.32933781753577,211.0,225.0,231.0,217.0,33.338,18.275,2.884
578,2131,2157,2350,2323,312,403,347,257,1926.0,1927.0,2106.0,2104.0,423.0,514.0,511.0,420.0,200.3409593667755,94.30005302225445,217.5,237.0,231.5,212.0,27.006,37.78,2.836
580,2129,2155,2353,2326,321,415,359,266,1914.0,1937.0,2123.0,2099.0,456.0,548.0,501.0,408.0,205.1499451620692,97.18281741130991,216.5,224.0,228.5,221.0,26.51,13.18,2.861
582,2141,2146,2343,2338,288,388,379,278,,,,,,,,,197.22892789852102,100.62430123980985,,,,,,,
584,2136,2166,2366,2337,303,399,337,241,1919.0,1940.0,2128.0,2107.0,435.0,528.0,487.0,393.0,209.86721992726734,100.43032410581975,221.5,232.0,234.0,223.5,26.297,17.95,2.795
586,2136,2167,2371,2340,300,397,332,235,1917.0,1943.0,2133.0,2107.0,436.0,530.0,477.0,383.0,214.1051143714227,101.83319694480774,221.5,231.0,235.5,226.0,27.384,14.786,2.786
588,2160,2160,2350,2350,270,373,373,270,1937.0,1932.0,2108.0,2114.0,406.0,504.0,514.0,416.0,190.0,103.0,225.5,235.0,239.0,229.5,25.659,15.279,2.741
590,2164,2159,2344,2350,262,369,378,272,1932.0,1932.0,2112.0,2112.0,415.0,513.0,513.0,415.0,185.74310215994564,106.6419242136975,229.5,229.5,235.0,235.0,21.508,12.007,2.739
592,2164,2159,2344,2350,262,369,378,272,1909.0,1937.0,2131.0,2103.0,437.0,532.0,476.0,381.0,185.74310215994564,106.6419242136975,238.5,217.5,230.0,251.0,24.525,39.323,2.716
594,2146,2154,2359,2351,263,365,348,247,1910.0,1937.0,2130.0,2103.0,430.0,526.0,473.0,377.0,205.66295242459202,101.81478281664211,226.5,223.0,238.5,242.0,25.802,23.164,2.737
596,2147,2153,2361,2355,252,357,346,241,1922.0,1928.0,2116.0,2110.0,404.0,503.0,492.0,393.0,208.290662296705,105.17128885774862,225.0,235.0,245.0,235.0,31.357,11.86,2.711
598,2148,2158,2367,2357,243,349,330,224,1923.0,1929.0,2118.0,2112.0,393.0,494.0,482.0,381.0,209.86185932655795,106.47065323364932,227.0,239.0,247.0,235.0,30.861,14.106,2.688
600,2156,2162,2373,2367,230,336,325,219,1934.0,1934.0,2119.0,2119.0,379.0,480.0,480.0,379.0,211.28653530218153,106.16967551989597,225.0,241.0,251.0,235.0,36.132,15.592,2.68
602,2151,2182,2402,2371,251,355,289,185,1917.0,1946.0,2147.0,2118.0,404.0,504.0,446.0,346.0,229.6867431960321,108.52188719332152,235.0,245.5,254.0,243.5,29.08,12.552,2.605
604,2168,2177,2394,2385,214,323,306,197,1931.0,1941.0,2140.0,2130.0,375.0,476.0,456.0,355.0,217.66488003350472,109.37092849564732,236.5,245.0,254.5,246.0,28.418,11.51,2.594
606,2178,2180,2396,2394,193,305,302,189,1935.0,1943.0,2144.0,2136.0,358.0,464.0,448.0,343.0,216.02835462040625,112.51777637333578,240.0,244.5,255.0,250.5,26.448,11.743,2.572
656,961,902,1443,1502,261,489,628,400,,,,,,,,,558.5713920350737,235.51008470976353,,,,,,,
658,961,902,1443,1502,261,489,628,400,,,,,,,,,558.5713920350737,235.51008470976353,,,,,,,
660,961,902,1443,1502,261,489,628,400,,,,,,,,,558.5713920350737,235.51008470976353,,,,,,,
662,961,902,1443,1502,261,489,628,400,,,,,,,,,558.5713920350737,235.51008470976353,,,,,,,
664,961,902,1443,1502,261,489,628,400,,,,,,,,,558.5713920350737,235.51008470976353,,,,,,,
666,961,902,1443,1502,261,489,628,400,,,,,,,,,558.5713920350737,235.51008470976353,,,,,,,
668,961,902,1443,1502,261,489,628,400,,,,,,,,,558.5713920350737,235.51008470976353,,,,,,,
670,961,902,1443,1502,261,489,628,400,,,,,,,,,558.5713920350737,235.51008470976353,,,,,,,
672,961,902,1443,1502,261,489,628,400,,,,,,,,,558.5713920350737,235.51008470976353,,,,,,,
674,961,902,1443,1502,261,489,628,400,,,,,,,,,558.5713920350737,235.51008470976353,,,,,,,
676,961,902,1443,1502,261,489,628,400,,,,,,,,,558.5713920350737,235.51008470976353,,,,,,,
678,961,902,1443,1502,261,489,628,400,,,,,,,,,558.5713920350737,235.51008470976353,,,,,,,
680,961,902,1443,1502,261,489,628,400,,,,,,,,,558.5713920350737,235.51008470976353,,,,,,,
682,961,902,1443,1502,261,489,628,400,,,,,,,,,558.5713920350737,235.51008470976353,,,,,,,
684,877,536,1048,1388,224,648,1059,635,,,,,,,,,656.1655659968756,543.7979863883279,,,,,,,
686,1290,1419,1501,1371,452,582,501,371,,,,,,,,,183.49455032779585,114.9053958698198,,,,,,,
688,1290,1419,1501,1371,452,582,501,371,,,,,,,,,183.49455032779585,114.9053958698198,,,,,,,
690,1290,1419,1501,1371,452,582,501,371,,,,,,,,,183.49455032779585,114.9053958698198,,,,,,,
692,1290,1419,1501,1371,452,582,501,371,,,,,,,,,183.49455032779585,114.9053958698198,,,,,,,
694,1290,1419,1501,1371,452,582,501,371,902.0,940.0,1068.0,1029.0,408.0,604.0,579.0,383.0,183.49455032779585,114.9053958698198,433.5,456.0,387.5,365.0,42.006,19.953,1.569
696,1290,1419,1501,1371,452,582,501,371,,,,,,,,,183.49455032779585,114.9053958698198,,,,,,,
698,1290,1419,1501,1371,452,582,501,371,,,,,,,,,183.49455032779585,114.9053958698198,,,,,,,
792,1814,1743,1835,1906,7,179,217,45,,,,,,,,,186.07794065928394,99.53893710503444,,,,,,,
794,1814,1743,1835,1906,7,179,217,45,,,,,,,,,186.07794065928394,99.53893710503444,,,,,,,
796,1814,1743,1835,1906,7,179,217,45,,,,,,,,,186.07794065928394,99.53893710503444,,,,,,,
798,1814,1743,1835,1906,7,179,217,45,,,,,,,,,186.07794065928394,99.53893710503444,,,,,,,
800,1814,1743,1835,1906,7,179,217,45,,,,,,,,,186.07794065928394,99.53893710503444,,,,,,,
802,1814,1743,1835,1906,7,179,217,45,,,,,,,,,186.07794065928394,99.53893710503444,,,,,,,
804,1814,1743,1835,1906,7,179,217,45,,,,,,,,,186.07794065928394,99.53893710503444,,,,,,,
812,1726,1652,1749,1823,23,201,241,63,,,,,,,,,192.76929216034384,104.92378186092989,,,,,,,
814,1690,1622,1750,1818,25,209,256,72,,,,,,,,,196.16319736382766,136.35615130972272,,,,,,,
816,1690,1622,1750,1818,25,209,256,72,,,,,,,,,196.16319736382766,136.35615130972272,,,,,,,
818,1690,1622,1750,1818,25,209,256,72,,,,,,,,,196.16319736382766,136.35615130972272,,,,,,,
820,1690,1622,1750,1818,25,209,256,72,,,,,,,,,196.16319736382766,136.35615130972272,,,,,,,
822,1690,1622,1750,1818,25,209,256,72,,,,,,,,,196.16319736382766,136.35615130972272,,,,,,,
824,1690,1622,1750,1818,25,209,256,72,,,,,,,,,196.16319736382766,136.35615130972272,,,,,,,
826,1690,1622,1750,1818,25,209,256,72,,,,,,,,,196.16319736382766,136.35615130972272,,,,,,,
828,1690,1622,1750,1818,25,209,256,72,,,,,,,,,196.16319736382766,136.35615130972272,,,,,,,
830,1690,1622,1750,1818,25,209,256,72,,,,,,,,,196.16319736382766,136.35615130972272,,,,,,,
832,1690,1622,1750,1818,25,209,256,72,,,,,,,,,196.16319736382766,136.35615130972272,,,,,,,
834,1690,1622,1750,1818,25,209,256,72,,,,,,,,,196.16319736382766,136.35615130972272,,,,,,,
836,1690,1622,1750,1818,25,209,256,72,,,,,,,,,196.16319736382766,136.35615130972272,,,,,,,
